date,Ticker,Avg. Sentiment,% Positive,% Negative,% Neutral,Sentiment Volatility,sum_positive,sum_negative,sum_neutral,total_tweets,daily_change_pct
2015-04-18,MSFT,0.09523809524,11.9047619,2.380952381,85.71428571,0.3679656748,10,2,72,84,-1.292694497
2015-04-18,TSLA,-0.02727272727,1.818181818,4.545454545,93.63636364,0.2519316534,2,5,103,110,0.0435413643
2015-04-19,AAPL,0.1741424802,18.20580475,0.7915567282,81.00263852,0.4000879411,69,3,307,379,-1.125465642
2015-04-19,AMZN,0.01503759398,6.766917293,5.263157895,87.96992481,0.3478279444,9,7,117,133,-2.714744586
2015-04-19,GOOG,0.08148148148,10.37037037,2.222222222,87.40740741,0.346665391,14,3,118,135,-1.826526789
2015-04-19,GOOGL,0.07079646018,7.96460177,0.8849557522,91.15044248,0.2902220258,9,1,103,113,-1.983367677
2015-04-19,MSFT,0.08333333333,19.44444444,11.11111111,69.44444444,0.5542047069,7,4,25,36,-1.292694497
2015-04-19,TSLA,-0.01869158879,3.738317757,5.607476636,90.65420561,0.3065729133,4,6,97,107,0.0435413643
2015-04-20,AAPL,0.07616487455,14.33691756,6.720430108,78.94265233,0.4527207097,160,75,881,1116,2.284569138
2015-04-20,AMZN,0.07397260274,12.87671233,5.479452055,81.64383562,0.422586033,47,20,298,365,3.714453083
2015-04-20,GOOG,0.05339805825,10.9223301,5.582524272,83.49514563,0.4032267742,45,23,344,412,2.162007442
2015-04-20,GOOGL,0.03649635036,8.394160584,4.744525547,86.86131387,0.3612911142,23,13,238,274,2.213087059
2015-04-20,MSFT,0.09274193548,14.51612903,5.241935484,80.24193548,0.4355969216,36,13,199,248,3.099843806
2015-04-20,TSLA,-0.05705705706,6.006006006,11.71171171,82.28228228,0.4176667689,20,39,274,333,-0.735045215
2015-04-21,AAPL,0.07238095238,15.42857143,8.19047619,76.38095238,0.4810324532,81,43,401,525,-0.5407523511
2015-04-21,AMZN,0.07228915663,13.25301205,6.024096386,80.72289157,0.4339373151,33,15,201,249,0.4287438063
2015-04-21,GOOG,0.07008086253,13.74663073,6.738544474,79.5148248,0.4477508283,51,25,295,371,-0.2633643393
2015-04-21,GOOGL,0.05785123967,9.504132231,3.719008264,86.7768595,0.359749121,23,9,210,242,-0.2947496006
2015-04-21,MSFT,0.0447761194,12.93532338,8.457711443,78.60696517,0.4615030603,26,17,158,201,-0.6292972847
2015-04-21,TSLA,-0.03921568627,10.78431373,14.70588235,74.50980392,0.5039708394,44,60,304,408,2.016855848
2015-04-22,AAPL,0.06238003839,15.16314779,8.925143954,75.91170825,0.4870516461,158,93,791,1042,1.347411551
2015-04-22,AMZN,0.1410658307,17.86833856,3.761755486,78.36990596,0.4438682082,57,12,250,319,-0.3527787719
2015-04-22,GOOG,0.006462035541,11.63166397,10.98546042,77.38287561,0.4759153195,72,68,479,619,1.010169111
2015-04-22,GOOGL,0.04923076923,10.76923077,5.846153846,83.38461538,0.4052598149,35,19,271,325,1.152092831
2015-04-22,MSFT,0.1631578947,21.57894737,5.263157895,73.15789474,0.4930313601,41,10,139,190,0.8209217779
2015-04-22,TSLA,0.1257763975,15.2173913,2.639751553,82.14285714,0.4037385782,98,17,529,644,4.789647104
2015-04-23,AAPL,0.1042296073,15.48338369,5.060422961,79.45619335,0.4412723942,205,67,1052,1324,0.8163582647
2015-04-23,AMZN,0.08051761323,20.05751258,12.00575126,67.93673616,0.560692036,279,167,945,1391,0.0487429451
2015-04-23,GOOG,0.0579868709,18.92778993,13.12910284,67.94310722,0.5635191955,173,120,621,914,1.415741503
2015-04-23,GOOGL,0.02485380117,13.4502924,10.96491228,75.58479532,0.4938531168,92,75,517,684,1.507702393
